0.052228,0,0,0,102.3929,-1.286775,191.0433
0.090697,-0.72,1.42,0.83,102.3929,-1.286775,191.0433
0.095969,-0.72,1.42,0.83,102.3929,-1.286775,191.0433
0.099341,-0.72,1.42,0.83,102.3929,-1.286775,191.0433
0.102799,-0.72,1.42,0.83,102.3929,-1.286775,191.0433
0.110715,-0.72,1.42,0.83,102.3929,-1.286775,191.0433
0.113095,-1.44,1.42,1.07,102.3514,-2.572912,190.6248
0.115364,-1.44,1.42,1.07,102.3514,-2.572912,190.6248
0.117652,-1.44,1.42,1.07,102.3514,-2.572912,190.6248
0.119968,-1.44,1.42,1.07,102.3514,-2.572912,190.6248
0.122376,-1.44,1.42,1.07,102.3514,-2.572912,190.6248
0.124763,-1.44,1.42,1.07,102.3514,-2.572912,190.6248
0.12707,-1.44,1.42,1.07,102.3514,-2.572912,190.6248
0.129486,-1.92,1.42,1.07,102.3262,-3.430269,190.6248
0.132079,-1.92,1.42,1.07,102.3262,-3.430269,190.6248
0.134421,-1.92,1.42,1.07,102.3262,-3.430269,190.6248
0.136881,-1.92,1.42,1.07,102.3262,-3.430269,190.6248
0.139583,-1.92,1.42,1.07,102.3262,-3.430269,190.6248
0.142308,-1.92,1.42,1.07,102.3262,-3.430269,190.6248
0.145058,-1.92,1.42,1.07,102.3262,-3.430269,190.6248
0.147768,-1.92,1.42,1.07,102.3262,-3.430269,190.6248
0.150351,-1.92,1.42,1.07,102.3262,-3.430269,190.6248
0.152888,-1.92,1.42,1.07,102.3262,-3.430269,190.6248
0.155226,-1.92,1.42,1.07,102.3262,-3.430269,190.6248
0.157876,-3.12,1.42,1.31,102.2129,-5.571436,190.2064
0.160393,-3.12,1.42,1.31,102.2129,-5.571436,190.2064
0.162921,-3.12,1.42,1.31,102.2129,-5.571436,190.2064
0.165219,-3.12,1.42,1.31,102.2129,-5.571436,190.2064
0.167404,-3.12,1.42,1.31,102.2129,-5.571436,190.2064
0.169706,-3.12,1.42,1.31,102.2129,-5.571436,190.2064
0.17215,-3.12,1.42,1.31,102.1418,-6.426219,189.788
0.174619,-3.6,1.42,1.55,102.1418,-6.426219,189.788
0.177189,-3.6,1.42,1.55,102.1418,-6.426219,189.788
0.179459,-3.6,1.42,1.55,102.1418,-6.426219,189.788
0.181711,-3.6,1.42,1.55,102.1418,-6.426219,189.788
0.183976,-3.6,1.42,1.55,102.1418,-6.426219,189.788
0.186116,-3.6,1.42,1.55,102.1418,-6.426219,189.788
0.1885,-3.6,1.42,1.55,101.9848,-8.563908,189.788
0.19103,-4.8,1.42,1.55,101.9848,-8.563908,189.788
0.193578,-4.8,1.42,1.55,101.9848,-8.563908,189.788
0.19605,-4.8,1.42,1.55,101.9848,-8.563908,189.788
0.198429,-4.8,1.42,1.55,101.9848,-8.563908,189.788
0.200847,-4.8,1.42,1.55,101.9848,-8.563908,189.788
0.203136,-4.8,1.42,1.55,101.9848,-8.563908,189.788
0.205622,-5.52,1.42,1.79,101.8467,-9.842604,189.3697
0.208071,-5.52,1.42,1.79,101.8467,-9.842604,189.3697
0.210677,-5.52,1.42,1.79,101.8467,-9.842604,189.3697
0.213061,-5.52,1.42,1.79,101.8467,-9.842604,189.3697
0.215566,-5.52,1.42,1.79,101.8467,-9.842604,189.3697
0.217963,-5.52,1.42,1.79,101.8467,-9.842604,189.3697
0.220308,-5.52,1.42,1.79,101.6908,-11.11899,188.9516
0.222532,-6.24,1.42,2.03,101.6908,-11.11899,188.9516
0.224875,-6.24,1.42,2.03,101.6908,-11.11899,188.9516
0.227136,-6.24,1.42,2.03,101.6908,-11.11899,188.9516
0.229395,-6.24,1.42,2.03,101.6908,-11.11899,188.9516
0.23155,-6.24,1.42,2.03,101.6908,-11.11899,188.9516
0.233764,-6.24,1.42,2.03,101.6908,-11.11899,188.9516
0.236061,-6.24,1.42,2.03,101.4356,-13.24621,188.9516
0.238302,-7.44,1.42,2.03,101.4356,-13.24621,188.9516
0.240588,-7.44,1.42,2.03,101.4356,-13.24621,188.9516
0.242884,-7.44,1.42,2.03,101.4356,-13.24621,188.9516
0.245113,-7.44,1.42,2.03,101.4356,-13.24621,188.9516
0.247283,-7.44,1.42,2.03,101.4356,-13.24621,188.9516
0.249551,-7.44,1.42,2.03,101.4356,-13.24621,188.9516
0.251816,-7.44,1.42,2.03,101.2078,-14.51215,188.1155
0.25404,-8.16,1.42,2.51,101.2078,-14.51215,188.1155
0.256324,-8.16,1.42,2.51,101.2078,-14.51215,188.1155
0.258697,-8.16,1.42,2.51,101.2078,-14.51215,188.1155
0.261027,-8.16,1.42,2.51,101.2078,-14.51215,188.1155
0.263169,-8.16,1.42,2.51,101.2078,-14.51215,188.1155
0.265408,-8.16,1.42,2.51,101.2078,-14.51215,188.1155
0.267614,-8.16,1.42,2.51,100.7097,-17.468,187.6977
0.269926,-9.84,1.42,2.75,100.7097,-17.468,187.6977
0.272231,-9.84,1.42,2.75,100.7097,-17.468,187.6977
0.274521,-9.84,1.42,2.75,100.7097,-17.468,187.6977
0.276761,-9.84,1.42,2.75,100.7097,-17.468,187.6977
0.278944,-9.84,1.42,2.75,100.7097,-17.468,187.6977
0.281176,-9.84,1.42,2.75,100.7097,-17.468,187.6977
0.283329,-9.84,1.42,2.75,100.7097,-17.468,187.6977
0.285736,-10.56,1.42,2.99,100.4514,-18.7264,187.28
0.288044,-10.56,1.42,2.99,100.4514,-18.7264,187.28
0.29031,-10.56,1.42,2.99,100.4514,-18.7264,187.28
0.29259,-10.56,1.42,2.99,100.4514,-18.7264,187.28
